y,x1,x2,x3,x4
13,180,0.93,2.66,5.27
170,640,1.09,4.14,3.15
3.1,41.2,14.96,12.2,6.19
13,469,2,4.12,8.54
1.1,83.6,2.04,3.08,5.34
4.8,89.2,1.78,2.28,5.34
4.7,75,3.57,5.38,5.34
0.9,23,4.17,5.38,5.34
16,58.9,1.66,4.88,5.34
8.9,60.9,3.12,4.21,8.04
9.1,38.8,4.9,4.38,8.04
36,379,1.4,2.88,8.04
8.1,109,3.81,5.14,8.04
7.7,160,1.26,5.2,8.98
26,390,1.25,4.05,8.98
1.7,24,3.66,2.05,10.06
1.2,65.3,5.83,2.05,10.06
4,80,4.93,2.05,8.56
9.1,149,5.03,2.55,9.56
40,135,4.96,2.7,8.98
12,107,3.6,2.05,8.98
43,335,3.45,2.14,4.94
20,28,2.07,5.38,4.94
0.1,9.5,6.7,2.05,8.98
4.8,110,3.52,2.72,8.98
70,220,3.87,2.77,4.94
0.8,375,2.41,2.73,4.94
1.4,35,4.12,2.23,4.94
2.4,72.5,3.54,2.42,7.23
0.9,182,1.97,4.11,7.23
